,date,D11,isPartial
0,2005-01-01,0,False
1,2005-02-01,0,False
2,2005-03-01,0,False
3,2005-04-01,0,False
4,2005-05-01,0,False
5,2005-06-01,0,False
6,2005-07-01,0,False
7,2005-08-01,0,False
8,2005-09-01,0,False
9,2005-10-01,0,False
10,2005-11-01,57,False
11,2005-12-01,100,False
12,2006-01-01,0,False
13,2006-02-01,0,False
14,2006-03-01,56,False
15,2006-04-01,59,False
16,2006-05-01,0,False
17,2006-06-01,0,False
18,2006-07-01,0,False
19,2006-08-01,0,False
20,2006-09-01,0,False
21,2006-10-01,0,False
22,2006-11-01,0,False
23,2006-12-01,0,False
24,2007-01-01,0,False
25,2007-02-01,0,False
26,2007-03-01,0,False
27,2007-04-01,0,False
28,2007-05-01,0,False
29,2007-06-01,0,False
30,2007-07-01,12,False
31,2007-08-01,0,False
32,2007-09-01,38,False
33,2007-10-01,0,False
34,2007-11-01,0,False
35,2007-12-01,0,False
36,2008-01-01,0,False
37,2008-02-01,19,False
38,2008-03-01,20,False
39,2008-04-01,0,False
40,2008-05-01,0,False
41,2008-06-01,0,False
42,2008-07-01,0,False
43,2008-08-01,0,False
44,2008-09-01,0,False
45,2008-10-01,0,False
46,2008-11-01,10,False
47,2008-12-01,0,False
48,2009-01-01,0,False
49,2009-02-01,0,False
50,2009-03-01,0,False
51,2009-04-01,0,False
52,2009-05-01,0,False
53,2009-06-01,6,False
54,2009-07-01,0,False
55,2009-08-01,0,False
56,2009-09-01,0,False
57,2009-10-01,4,False
58,2009-11-01,0,False
59,2009-12-01,4,False
60,2010-01-01,0,False
61,2010-02-01,9,False
62,2010-03-01,0,False
63,2010-04-01,0,False
64,2010-05-01,0,False
65,2010-06-01,4,False
66,2010-07-01,0,False
67,2010-08-01,3,False
68,2010-09-01,0,False
69,2010-10-01,3,False
70,2010-11-01,0,False
71,2010-12-01,0,False
72,2011-01-01,0,False
73,2011-02-01,0,False
74,2011-03-01,2,False
75,2011-04-01,1,False
76,2011-05-01,0,False
77,2011-06-01,0,False
78,2011-07-01,0,False
79,2011-08-01,0,False
80,2011-09-01,1,False
81,2011-10-01,1,False
82,2011-11-01,2,False
83,2011-12-01,1,False
84,2012-01-01,0,False
85,2012-02-01,1,False
86,2012-03-01,0,False
87,2012-04-01,1,False
88,2012-05-01,0,False
89,2012-06-01,1,False
90,2012-07-01,1,False
91,2012-08-01,3,False
92,2012-09-01,1,False
93,2012-10-01,1,False
94,2012-11-01,0,False
95,2012-12-01,2,False
96,2013-01-01,1,False
97,2013-02-01,1,False
98,2013-03-01,1,False
99,2013-04-01,1,False
100,2013-05-01,1,False
101,2013-06-01,0,False
102,2013-07-01,3,False
103,2013-08-01,1,False
104,2013-09-01,1,False
105,2013-10-01,1,False
106,2013-11-01,0,False
107,2013-12-01,1,False
108,2014-01-01,0,False
109,2014-02-01,0,False
110,2014-03-01,0,False
111,2014-04-01,0,False
112,2014-05-01,1,False
113,2014-06-01,1,False
114,2014-07-01,1,False
115,2014-08-01,1,False
116,2014-09-01,0,False
117,2014-10-01,0,False
118,2014-11-01,1,False
119,2014-12-01,1,False
120,2015-01-01,1,False
121,2015-02-01,1,False
122,2015-03-01,1,False
123,2015-04-01,0,False
124,2015-05-01,0,False
125,2015-06-01,0,False
126,2015-07-01,1,False
127,2015-08-01,0,False
128,2015-09-01,1,False
129,2015-10-01,1,False
130,2015-11-01,1,False
131,2015-12-01,1,False
132,2016-01-01,1,False
133,2016-02-01,0,False
134,2016-03-01,1,False
135,2016-04-01,0,False
136,2016-05-01,1,False
137,2016-06-01,1,False
138,2016-07-01,1,False
139,2016-08-01,1,False
140,2016-09-01,0,False
141,2016-10-01,1,False
142,2016-11-01,0,False
143,2016-12-01,0,False
144,2017-01-01,1,False
145,2017-02-01,1,False
146,2017-03-01,1,False
147,2017-04-01,1,False
148,2017-05-01,1,False
149,2017-06-01,1,False
150,2017-07-01,2,False
151,2017-08-01,0,False
152,2017-09-01,1,False
153,2017-10-01,2,False
154,2017-11-01,1,False
155,2017-12-01,1,False
156,2018-01-01,1,False
157,2018-02-01,0,False
158,2018-03-01,1,False
159,2018-04-01,1,False
160,2018-05-01,2,False
161,2018-06-01,0,False
162,2018-07-01,3,False
163,2018-08-01,1,False
164,2018-09-01,1,False
165,2018-10-01,1,False
166,2018-11-01,1,False
167,2018-12-01,0,False
168,2019-01-01,1,False
169,2019-02-01,1,False
170,2019-03-01,1,False
171,2019-04-01,1,False
172,2019-05-01,1,False
173,2019-06-01,2,False
174,2019-07-01,1,False
175,2019-08-01,1,False
176,2019-09-01,2,False
177,2019-10-01,1,False
178,2019-11-01,1,False
179,2019-12-01,2,False
180,2020-01-01,1,False
181,2020-02-01,1,False
182,2020-03-01,1,False
183,2020-04-01,2,False
184,2020-05-01,2,False
185,2020-06-01,3,False
186,2020-07-01,1,False
187,2020-08-01,2,False
188,2020-09-01,2,False
189,2020-10-01,1,False
190,2020-11-01,1,False
191,2020-12-01,1,False
192,2021-01-01,2,False
193,2021-02-01,1,False
194,2021-03-01,1,False
195,2021-04-01,2,False
196,2021-05-01,2,False
197,2021-06-01,1,False
198,2021-07-01,2,False
199,2021-08-01,2,False
200,2021-09-01,1,False
201,2021-10-01,2,False
202,2021-11-01,2,False
203,2021-12-01,2,False
204,2022-01-01,2,False
205,2022-02-01,3,False
206,2022-03-01,3,False
207,2022-04-01,4,False
208,2022-05-01,2,False
209,2022-06-01,3,False
210,2022-07-01,4,False
211,2022-08-01,2,False
212,2022-09-01,2,False
